month_date,mean_precipitation
"Sat, 31 Dec 2011 16:00:00 GMT",3.758064516
"Tue, 31 Jan 2012 16:00:00 GMT",3.734513274
"Wed, 29 Feb 2012 16:00:00 GMT",4.888709677
"Sat, 31 Mar 2012 16:00:00 GMT",3.128333333
"Mon, 30 Apr 2012 16:00:00 GMT",1.673387097
"Thu, 31 May 2012 16:00:00 GMT",1.1075
"Sat, 30 Jun 2012 16:00:00 GMT",0.388709677
"Tue, 31 Jul 2012 16:00:00 GMT",1.32016129
"Fri, 31 Aug 2012 16:00:00 GMT",1.9625
"Sun, 30 Sep 2012 16:00:00 GMT",4.059677419
"Wed, 31 Oct 2012 16:00:00 GMT",5.354166667
"Fri, 30 Nov 2012 16:00:00 GMT",5.021774194
